,id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,review_per_month
544,16001334,Cozy lofted studio on Beacon St in Back Bay!,Back Bay,42.35346,-71.07693,Entire home/apt,184.68,91,2,2017-07-02,0.02,1,0,0,NA,0.02
545,16013285,Clean & Spacious 2 bedroom Near Downtown,Dorchester,42.29181,-71.05264,Entire home/apt,215.0,2,156,2024-10-27,1.69,1,257,7,STR-383333,1.69
546,16040760,Artist Luxury Apt in Boston Free Park & Walk to T,Allston,42.35457,-71.13293,Entire home/apt,248.0,91,67,2019-08-10,0.7,1,365,0,NA,0.7
547,16121974,Super nice room for renting locate at city center,Fenway,42.34245,-71.09021,Private room,184.68,91,5,2017-01-08,0.05,1,0,0,NA,0.05
548,16148182,~*Pet Friendly 30min to Downtown*~ THE BOSTONIAN,Hyde Park,42.26145553588867,-71.11660766601562,Entire home/apt,97.0,2,287,2024-11-30,2.94,3,341,40,STR-443131,2.94
549,16233671,Garden room next to T stop/bus hub.,Charlestown,42.38185,-71.07693,Private room,80.0,2,99,2024-10-09,1.09,12,313,20,STR-383107,1.09
550,16239455,Charming Loft with tub - 15min to downtown,Dorchester,42.29303,-71.06693,Entire home/apt,184.68,3,115,2024-08-10,1.19,2,0,19,STR-551909,1.19
551,16276850,1 bedroom/studio in southie,South Boston,42.33905,-71.04792,Entire home/apt,184.68,91,17,2019-11-08,0.18,1,0,0,NA,0.18
552,16364879,2 beds Garden Apt-calm oasis next to T stop -3 min,Charlestown,42.38379,-71.0783,Private room,136.0,1,174,2024-10-07,1.79,12,266,10,STR-383107,1.79
553,16379917,2bd 2 bath Boston  w/parking & office,Hyde Park,42.2355,-71.13134,Entire home/apt,174.0,29,10,2024-07-03,0.1,11,297,2,NA,0.1
554,16413314,Modern Brownstone - walk to Longwood Medical Area!,Roxbury,42.32676,-71.09364,Private room,80.0,6,99,2024-10-29,1.04,1,55,22,STR-541538,1.04
555,16447567,#104 Boston 独立房 全楼禁烟AC room,Dorchester,42.3076,-71.06542,Private room,50.0,29,97,2024-11-17,1.0,5,213,4,NA,1.0
556,16453657,Quiet & Perfect Location Near The Red Line!,Dorchester,42.28732,-71.06625,Private room,50.0,30,4,2024-11-30,0.05,27,364,1,NA,0.05
557,16459191,"Stylish, Best Location Back Bay Studio!",Back Bay,42.35349,-71.07595,Entire home/apt,150.0,29,152,2024-08-03,1.57,1,180,2,NA,1.57
558,16464424,Spacious sunny 2 bedroom on public transit,Brighton,42.34212,-71.14379,Entire home/apt,184.68,91,2,2017-01-04,0.02,1,0,0,NA,0.02
559,16479752,Large bedroom- easy access to Boston and Cambridge,Charlestown,42.38191,-71.07865,Private room,75.0,1,3,2020-02-07,0.03,12,56,0,STR-383106,0.03
560,16515215,Cozy Room in Allston/Brighton,Allston,42.34924,-71.13915,Private room,184.68,91,1,2017-01-13,0.01,1,0,0,NA,0.01
561,16517776,Next to T stop-10 min to downtown Boston/Cambridge,Charlestown,42.38183,-71.07888,Private room,76.0,1,101,2024-10-05,1.08,12,286,11,STR-383107,1.08
562,16545081,"Renovated, Clean, Quiet & Safe Near Orange Line",Roxbury,42.31341,-71.09356,Private room,39.0,100,3,2019-10-18,0.03,31,365,0,NA,0.03
563,16671164,Comfortable 1 BR steps from public transportation,Dorchester,42.28612,-71.06625,Entire home/apt,300.0,3,135,2023-10-23,1.44,1,11,0,STR-397924,1.44
564,16678094,"Charming, Quiet Fort Hill One-Bedroom",Roxbury,42.32431553924685,-71.09195369415323,Private room,105.0,2,112,2024-11-03,1.17,1,336,5,STR-470759,1.17
565,16692369,Bedroom in large apartment-access to Boston/Camb.,Charlestown,42.38366,-71.0786,Private room,75.0,1,6,2019-01-11,0.06,12,54,0,STR-383106,0.06
566,16731118,#103 Boston private AC room 可讲国语禁止吸烟,Dorchester,42.30775,-71.0651,Private room,50.0,29,50,2024-10-22,0.53,12,252,1,NA,0.53
567,16770690,Maria's JP Rental - Boston Duplex in Jamaica Plain,Jamaica Plain,42.30745,-71.11043,Entire home/apt,213.0,4,98,2024-12-02,1.28,1,192,19,STR-436507,1.28
568,16779363,Luxury Treetop Jamaica Plain Arboretum Townhouse,Jamaica Plain,42.30391,-71.11777,Entire home/apt,184.68,29,10,2019-12-01,0.11,1,0,0,STR-402182,0.11
569,16835622,馨绯的家,Allston,42.34922,-71.13892,Shared room,184.68,91,1,2017-12-19,0.01,1,0,0,NA,0.01
570,16894082,South Boston. Minutes away from Convention Center,South Boston,42.33509,-71.0288,Entire home/apt,290.0,2,61,2024-11-09,0.65,1,265,11,STR-523715,0.65
571,16909100,Modern luxe 1st Flr 2BR apartment steps from train,Jamaica Plain,42.32036,-71.10403,Entire home/apt,159.0,3,172,2024-12-15,1.83,1,271,40,STR-544846,1.83
572,16923467,Quiet stay in a Brookline Village,West Roxbury,42.29506,-71.15325,Private room,500.0,91,5,2017-04-24,0.05,1,90,0,NA,0.05
573,16971718,A Victorian Secret AMAZING apt.  in Historic Home,Roxbury,42.3237,-71.09514,Entire home/apt,223.0,2,301,2024-12-08,3.49,1,288,51,STR-545299,3.49
574,17023481,Chic 1 bed in Financial District,Leather District,42.35137,-71.05871,Entire home/apt,230.0,32,5,2023-06-02,0.05,47,255,0,NA,0.05
575,17042710,2 Bedroom with Luxury Amenities in Back Bay,Fenway,42.34432,-71.08673,Entire home/apt,285.0,32,5,2024-07-29,0.07,47,232,1,NA,0.07
576,17075037,Christmas Tree mins2DowntownBCEC train Freeprk,Dorchester,42.31057,-71.06361,Entire home/apt,464.0,2,133,2024-10-06,1.39,4,257,8,STR-413523,1.39
577,17210305,Renovated House Clean room,Roxbury,42.31313,-71.09335,Private room,39.0,91,3,2017-12-01,0.03,31,365,0,NA,0.03
578,17222935,Reasonable  Place for your stay near the T Lines!,Dorchester,42.30042,-71.0642,Private room,45.0,30,11,2024-06-01,0.12,27,364,1,NA,0.12
579,17223845,Right location & Private Room w/ Airbed Near T!,Dorchester,42.30042,-71.06435,Private room,45.0,30,16,2023-12-31,0.18,27,362,1,NA,0.18
580,17285926,Perfect Location/Copley Square/South End,South End,42.34547,-71.07481,Entire home/apt,184.68,4,125,2023-06-15,1.32,1,0,0,STR-398252,1.32
581,17296595,Beautifully renovated apartment in the trees,Jamaica Plain,42.30817,-71.11114,Entire home/apt,184.68,29,113,2024-09-02,1.21,1,0,8,STR-484090,1.21
582,17430142,Renovated Clean Quiet House near Orange line,Roxbury,42.31341,-71.09358,Private room,39.0,150,2,2017-06-22,0.02,31,180,0,NA,0.02
